away_team,home_team,kickoff,hour_offset,tweet_count
CIN,CHI,2013-09-08 13:00:00,4,99
CIN,CHI,2013-09-08 13:00:00,5,0
CIN,CHI,2013-09-08 13:00:00,6,11
CIN,CHI,2013-09-08 13:00:00,7,183
CIN,CHI,2013-09-08 13:00:00,8,0
CIN,CHI,2013-09-08 13:00:00,9,0
CIN,CHI,2013-09-08 13:00:00,10,0
CIN,CHI,2013-09-08 13:00:00,11,0
CIN,CHI,2013-09-08 13:00:00,12,0
CIN,CHI,2013-09-08 13:00:00,13,0
CIN,CHI,2013-09-08 13:00:00,14,0
CIN,CHI,2013-09-08 13:00:00,15,0
CIN,CHI,2013-09-08 13:00:00,16,0
CIN,CHI,2013-09-08 13:00:00,17,0
CIN,CHI,2013-09-08 13:00:00,18,0
CIN,CHI,2013-09-08 13:00:00,19,0
CIN,CHI,2013-09-08 13:00:00,20,0
CIN,CHI,2013-09-08 13:00:00,21,0
CIN,CHI,2013-09-08 13:00:00,22,0
CIN,CHI,2013-09-08 13:00:00,23,0
CIN,CHI,2013-09-08 13:00:00,24,0
CIN,CHI,2013-09-08 13:00:00,25,0
CIN,CHI,2013-09-08 13:00:00,26,0
CIN,CHI,2013-09-08 13:00:00,27,0
CIN,CHI,2013-09-08 13:00:00,28,0
CIN,CHI,2013-09-08 13:00:00,29,0
CIN,CHI,2013-09-08 13:00:00,30,0
CIN,CHI,2013-09-08 13:00:00,31,0
CIN,CHI,2013-09-08 13:00:00,32,0
CIN,CHI,2013-09-08 13:00:00,33,0
CIN,CHI,2013-09-08 13:00:00,34,0
CIN,CHI,2013-09-08 13:00:00,35,0
CIN,CHI,2013-09-08 13:00:00,36,0
CIN,CHI,2013-09-08 13:00:00,37,0
CIN,CHI,2013-09-08 13:00:00,38,0
CIN,CHI,2013-09-08 13:00:00,39,0
CIN,CHI,2013-09-08 13:00:00,40,0
CIN,CHI,2013-09-08 13:00:00,41,0
CIN,CHI,2013-09-08 13:00:00,42,0
CIN,CHI,2013-09-08 13:00:00,43,0
CIN,CHI,2013-09-08 13:00:00,44,0
CIN,CHI,2013-09-08 13:00:00,45,0
CIN,CHI,2013-09-08 13:00:00,46,0
CIN,CHI,2013-09-08 13:00:00,47,1
CIN,CHI,2013-09-08 13:00:00,48,0
MIA,CLE,2013-09-08 13:00:00,-5,0
MIA,CLE,2013-09-08 13:00:00,-4,0
